episodio,pelicula,pelicula_año,link_letterboxd,fecha,imagen_url,duracion_ms,tipo,episodio_url
"83: Se iba a comprar un colchón de alta densidad y dijo ""No, tráiganme dólares nomás""",The Monkey,2025,https://letterboxd.com/film/the-monkey-2025/,2025-03-04,https://i1.sndcdn.com/artworks-SglpDF9Q2vPzfgPo-Gimwww-t500x500.png,4163000,pago,https://hoytrasnoche.com/vip/
82: Cuando digo lituana quiero decir letona,Flow,2024,https://letterboxd.com/film/flow-2024/,2025-02-18,https://i1.sndcdn.com/artworks-ZAWish3uo3CD8IOs-fJDErg-t500x500.png,3511000,pago,https://hoytrasnoche.com/vip/
Matar -REDACTED- siempre está mal,The Girl with the Needle,2024,https://letterboxd.com/film/the-girl-with-the-needle/,2025-02-11,https://i1.sndcdn.com/artworks-utIZOt87TIwTRGOk-arZTLA-t500x500.png,5183000,pago,https://hoytrasnoche.com/vip/
"80: Neurodivergencia, neurodivergencia",Companion,2025,https://letterboxd.com/film/companion-2025/,2025-02-04,https://i1.sndcdn.com/artworks-ywjzVXk3EJbcIlmq-HOV5ew-t500x500.png,4620000,pago,https://hoytrasnoche.com/vip/
79: A la pirámide antes le decían el avión,"Oh, Canada",2024,https://letterboxd.com/film/oh-canada/,2025-01-28,https://i1.sndcdn.com/artworks-8mEVCTgezuKiUKJg-Ee53Mg-t500x500.png,3966000,pago,https://hoytrasnoche.com/vip/
78: La puse para ver y la perra se comió no sé qué cosa,The Order,2024,https://letterboxd.com/film/the-order-2024/,2025-01-21,https://i1.sndcdn.com/artworks-wQ51pazrIVtxKSzQ-zDGF4A-t500x500.png,3641000,pago,https://hoytrasnoche.com/vip/
"77: Te triggerié diciendo ""triggerear""",The End,2024,https://letterboxd.com/film/the-end-2024/,2025-01-14,https://i1.sndcdn.com/artworks-KQNUM9ayMmcfHETu-Dpiz4Q-t500x500.png,4316000,pago,https://hoytrasnoche.com/vip/
76: Es como cagar un piano,Nightbitch,2024,https://letterboxd.com/film/nightbitch/,2025-01-07,https://i1.sndcdn.com/artworks-fFZ3hl24j3fo1grc-O5BeBQ-t500x500.png,3786000,pago,https://hoytrasnoche.com/vip/
"75: Estoy tratando de agendarla pata verla, pero el Calendar no me llega hasta ""en la puta vida""",Y2K,2024,https://letterboxd.com/film/y2k-2024/,2024-12-31,https://i1.sndcdn.com/artworks-fXlnA71sUybnKAfo-alYLsw-t500x500.png,4056000,pago,https://hoytrasnoche.com/vip/
74: El Enrique Symms de ellos,Sing Sing,2023,https://letterboxd.com/film/sing-sing-2023/,2024-12-24,https://i1.sndcdn.com/artworks-QSBPZiPtQi2KW9KR-FiVFEw-t500x500.png,3634000,pago,https://hoytrasnoche.com/vip/
73: No es importante si la película leyó o no a Nietzsche,Carry-On,2024,https://letterboxd.com/film/carry-on-2024/,2024-12-17,https://i1.sndcdn.com/artworks-whmHb7hbWvPL2mea-2RNOGw-t500x500.png,4062000,pago,https://hoytrasnoche.com/vip/
72: La Sharknado de Llinás,Arturo a los 30,2023,https://letterboxd.com/film/about-thirty/,2024-12-10,https://i1.sndcdn.com/artworks-9HIzoyyFEGWZBEt3-H9pv1Q-t500x500.png,4606000,pago,https://hoytrasnoche.com/vip/
72: La Sharknado de Llinás,Trenque Lauquen,2024,https://letterboxd.com/film/trenque-lauquen/,2024-12-10,https://i1.sndcdn.com/artworks-9HIzoyyFEGWZBEt3-H9pv1Q-t500x500.png,4606000,pago,https://hoytrasnoche.com/vip/
72: La Sharknado de Llinás,Alemania,2023,https://letterboxd.com/film/alemania-2023/,2024-12-10,https://i1.sndcdn.com/artworks-9HIzoyyFEGWZBEt3-H9pv1Q-t500x500.png,4606000,pago,https://hoytrasnoche.com/vip/
71: Desde mi lugar en Los Angeles,MadS,2024,https://letterboxd.com/film/mads/,2024-12-03,https://i1.sndcdn.com/artworks-8h2ZkMDPAQya1P3l-FwZs1w-t500x500.png,4230000,pago,https://hoytrasnoche.com/vip/
70: Ese vicio romano de enjabonar,Gladiator II,2024,https://letterboxd.com/film/gladiator-ii/,2024-11-26,https://i1.sndcdn.com/artworks-olyRpYAm3albcI7y-1JeNzQ-t500x500.png,4936000,pago,https://hoytrasnoche.com/vip/
69: Le deben caer a comer de garrón como el Facha Martel al Corralón,Your Monster,2024,https://letterboxd.com/film/your-monster-2024/,2024-11-19,https://i1.sndcdn.com/artworks-PXCnMA05fSyAtkVe-yfvtqQ-t500x500.png,3733000,pago,https://hoytrasnoche.com/vip/
68: Tilda Swinton haciendo de Pillín Braccamonte,The Room Next Door,2024,https://letterboxd.com/film/the-room-next-door-2024/,2024-11-12,https://i1.sndcdn.com/artworks-f5GztiyKhlzGhKQR-I8RjOQ-t500x500.png,4410000,pago,https://hoytrasnoche.com/vip/
67: Un mexicano leyendo un teleprompter,The Apprentice,2024,https://letterboxd.com/film/the-apprentice-2024/,2024-11-05,https://i1.sndcdn.com/artworks-l62XQN84IoPTWefF-78Wp8w-t500x500.jpg,4730000,pago,https://hoytrasnoche.com/vip/
66: La próxima película que tenga un personaje que haga un podcast la apagamos,Terrifier 3,2024,https://letterboxd.com/film/terrifier-3/,2024-10-29,https://i1.sndcdn.com/artworks-nhEngVabOY6IoyHe-TGcgBg-t500x500.jpg,4540000,pago,https://hoytrasnoche.com/vip/
65: Está donando su capital erótico a un tetón desquiciado,El hombre que amaba los platos voladores,2024,https://letterboxd.com/film/the-man-who-loved-ufos/,2024-10-22,https://i1.sndcdn.com/artworks-GSDHFQza2POn1pML-dyGzXA-t500x500.jpg,4835000,pago,https://hoytrasnoche.com/vip/
64: Está escrita por un adolescente que va a una marcha y corre,Caddo Lake,2024,https://letterboxd.com/film/caddo-lake/,2024-10-15,https://i1.sndcdn.com/artworks-qPAd0ENtdE7Suz9M-VlycdQ-t500x500.jpg,4654000,pago,https://hoytrasnoche.com/vip/
63: Un viejo con la vena hinchada,Strange Darling,2023,https://letterboxd.com/film/strange-darling/,2024-10-08,https://i1.sndcdn.com/artworks-fXqd8nxkgZ7g0ucw-haSx4w-t500x500.jpg,4841000,pago,https://hoytrasnoche.com/vip/
62: Todo el lore de Román en Boca,Apartment 7A,2024,https://letterboxd.com/film/apartment-7a/,2024-10-01,https://i1.sndcdn.com/artworks-zyKEmQ8vsq2ejz3a-msMT4Q-t500x500.jpg,3718000,pago,https://hoytrasnoche.com/vip/
61: Edadismo y Edda Díaz,The Substance,2024,https://letterboxd.com/film/the-substance/,2024-09-24,https://i1.sndcdn.com/artworks-lyjSjgR0Ez56jFZ1-I7ywaw-t500x500.jpg,4065000,pago,https://hoytrasnoche.com/vip/
60: Vi el trailer y deseo de todo corazón que la actúe Alacrán,Speak No Evil,2024,https://letterboxd.com/film/speak-no-evil-2024/,2024-09-17,https://i1.sndcdn.com/artworks-OOBOQENDATxcQpzi-t6TDeg-t500x500.jpg,4884000,pago,https://hoytrasnoche.com/vip/
1: Ese pato estuvo en el culo de alguien,The Witch,2015,https://letterboxd.com/film/the-witch-2015/,2023-08-01,https://i1.sndcdn.com/artworks-5gsKHfPLzAYYZB7N-x4Rnyw-t500x500.jpg,3785000,pago,https://hoytrasnoche.com/vip/
2: Ese amigo del asma,Sympathy for the Devil,2023,https://letterboxd.com/film/sympathy-for-the-devil-2023/,2023-08-08,https://i1.sndcdn.com/artworks-zTlCmBidf2UYCgLT-zFgaLg-t500x500.jpg,5367000,pago,https://hoytrasnoche.com/vip/
"3: Iba a ir al cine, pero no",Medusa Deluxe,2022,https://letterboxd.com/film/medusa-deluxe/,2023-08-15,https://i1.sndcdn.com/artworks-ATyWbGtGzGOOch3s-Vg2RtA-t500x500.jpg,3930000,pago,https://hoytrasnoche.com/vip/
4: Te prometo recorrer tu filmografía y sentirte solo mía,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://letterboxd.com/film/teenage-mutant-ninja-turtles-mutant-mayhem/,2023-08-22,https://i1.sndcdn.com/artworks-c9z952z1oVFfWSec-GweDYw-t500x500.jpg,4673000,pago,https://hoytrasnoche.com/vip/
5: Comando Suicida for babies,Past Lives,2023,https://letterboxd.com/film/past-lives/,2023-08-29,https://i1.sndcdn.com/artworks-7UDae9yAEP2Jh5sT-yvBU9g-t500x500.jpg,4663000,pago,https://hoytrasnoche.com/vip/
6: No te pedí un banquete,The Last Voyage of the Demeter,2023,https://letterboxd.com/film/the-last-voyage-of-the-demeter/,2023-09-05,https://i1.sndcdn.com/artworks-zdgj1wk9XPyhE8wT-buJywg-t500x500.jpg,4421000,pago,https://hoytrasnoche.com/vip/
7: La fiesta del puerperio,Birth/Rebirth,2023,https://letterboxd.com/film/birth-rebirth/,2023-09-12,https://i1.sndcdn.com/artworks-FPxlpbbA5YEAdCP3-F2XDOg-t500x500.jpg,4419000,pago,https://hoytrasnoche.com/vip/
