pelicula,pelicula_año,episodio,link_letterboxd
A Different Man,2024,"175: Salió, como dirían los nenazis, a tirar ""factos""",https://letterboxd.com/film/a-different-man/
Abraço de Mãe,2024,174: Una Lindsay Lohan con la peor de las ondas feat Cristian Ponce,https://letterboxd.com/film/a-mothers-embrace/
Smile 2,2024,173: Luis con lo único que es intransigente es con la droga,https://letterboxd.com/film/smile-2-2024/
It’s What’s Inside,2024,172: Es como si se hubiera muerto AJ de los Backstreet Boys,https://letterboxd.com/film/its-whats-inside/
El jockey,2024,171: Si te querés permitir una nueva experiencia subite a una bicicleta,https://letterboxd.com/film/kill-the-jockey/
Joker: Folie à Deux,2024,"170: Él hubiera visto la película de Sandra, pero ya estaba chinchudo feat. el Negro Martí",https://letterboxd.com/film/joker-folie-a-deux/
Blink Twice,2024,"169: Un Jesús basado, que tiene tilde azul en Twitter y es su propio jefe",https://letterboxd.com/film/blink-twice/
Cuckoo,2024,"168: Y Alberto le decía ""Vamos a ver la película del hachero""",https://letterboxd.com/film/cuckoo-2024/
Rebel Ridge,2024,"167: Esperemos que se estrene, no la vea nadie y se termine todo este lore",https://letterboxd.com/film/rebel-ridge/
Logan,2017,Hoy Trasnoche: Primera función,https://letterboxd.com/film/logan-2017/
Get Out,2017,Hoy Trasnoche: Segunda función,https://letterboxd.com/film/get-out-2017/
Alien: Covenant,2017,Hoy Trasnoche: Tercera función,https://letterboxd.com/film/alien-covenant/
Dirty Dancing,1987,Hoy Trasnoche: Cuarta función,https://letterboxd.com/film/dirty-dancing/
Possession,1981,Hoy Trasnoche: Cuarta función,https://letterboxd.com/film/possession/
Colossal,2016,Hoy Trasnoche: Quinta función,https://letterboxd.com/film/colossal-2016/
El bar,2017,Hoy Trasnoche: Sexta función,https://letterboxd.com/film/the-bar/
Raw,2016,Hoy Trasnoche: Séptima función,https://letterboxd.com/film/raw-2016/
It Comes at Night,2017,Hoy Trasnoche: Anteúltima función,https://letterboxd.com/film/it-comes-at-night/
Okja,2017,Hoy Trasnoche: Última función,https://letterboxd.com/film/okja/
The Beguiled,2017,3: 124 enanos en un hotel,https://letterboxd.com/film/the-beguiled-2017/
Jigsaw,2017,"4: ""Basado en una historia real""",https://letterboxd.com/film/jigsaw-2017/
American Made,2017,"4: ""Basado en una historia real""",https://letterboxd.com/film/american-made/
Murder on the Orient Express,2017,5: Empujados a la delincuencia,https://letterboxd.com/film/murder-on-the-orient-express-2017/
Paterson,2016,5: Empujados a la delincuencia,https://letterboxd.com/film/paterson/
Ingrid Goes West,2017,6: El capítulo videoclub,https://letterboxd.com/film/ingrid-goes-west/
Super Dark Times,2017,6: El capítulo videoclub,https://letterboxd.com/film/super-dark-times/
The Villainess,2017,7: Racista bien,https://letterboxd.com/film/the-villainess/
Suburbicon,2017,7: Racista bien,https://letterboxd.com/film/suburbicon/
Soy tu karma,2017,7: Racista bien,https://letterboxd.com/film/soy-tu-karma/
Happy Death Day,2017,8: Las pesadillas de Calu y Flor,https://letterboxd.com/film/happy-death-day/
Battle of the Sexes,2017,8: Las pesadillas de Calu y Flor,https://letterboxd.com/film/battle-of-the-sexes-2017/
Good Time,2017,9: Quiste dermoide sacrocoxigeo,https://letterboxd.com/film/good-time/
The Disaster Artist,2017,10: El cumple de Flor,https://letterboxd.com/film/the-disaster-artist/
Jeepers Creepers 3,2017,12: Los directores las prefieren menores,https://letterboxd.com/film/jeepers-creepers-3/
Wonder Wheel,2017,12: Los directores las prefieren menores,https://letterboxd.com/film/wonder-wheel/
"I Love You, Daddy",2017,12: Los directores las prefieren menores,https://letterboxd.com/film/i-love-you-daddy/
Desearás al hombre de tu hermana,2017,13: Desearás a la película de Pampita,https://letterboxd.com/film/desire-2017/
"I, Tonya",2017,2: Cine y represores muertos,https://letterboxd.com/film/i-tonya/
Annihilation,2018,3: SEX,https://letterboxd.com/film/annihilation/
Phantom Thread,2017,3: SEX,https://letterboxd.com/film/phantom-thread/
Ready Player One,2018,4: Cine intracorporal,https://letterboxd.com/film/ready-player-one/
The Florida Project,2017,4: Cine intracorporal,https://letterboxd.com/film/the-florida-project/
A Quiet Place,2018,5: Tumores cerebrales mutantes,https://letterboxd.com/film/a-quiet-place-2018/
Historias extraordinarias,2008,6: Un episodio de 20 minutos para una película de 4 horas,https://letterboxd.com/film/extraordinary-stories/
La Flor,2018,7: Floja de estrenos,https://letterboxd.com/film/la-flor/
Shallow Grave,1994,8: La policía agradecida,https://letterboxd.com/film/shallow-grave/
The Beach,2000,8: La policía agradecida,https://letterboxd.com/film/the-beach/
Based on a True Story,2017,9: El test Bruce Willis,https://letterboxd.com/film/based-on-a-true-story-2017/
You Were Never Really Here,2017,10: Puma de bengala,https://letterboxd.com/film/you-were-never-really-here/
Las Vegas,2018,11: Un té con los huevos,https://letterboxd.com/film/las-vegas/
Isle of Dogs,2018,12: Smell-O-Vision,https://letterboxd.com/film/isle-of-dogs-2018/
Revenge,2017,13: El duende resfriado,https://letterboxd.com/film/revenge-2017/
Hereditary,2018,14: Piñón Fijo sin maquillaje,https://letterboxd.com/film/hereditary/
Hereditary,2018,16: Gritándole a una nube,https://letterboxd.com/film/hereditary/
The Ritual,2017,15: Violencia en el bosque ATR,https://letterboxd.com/film/the-ritual-2017/
Army of Darkness,1992,17: Ayer Trasnoche: 1993,https://letterboxd.com/film/army-of-darkness/
