episodio,desc,duracion_ms,id,imagen_url,fecha,episodio_url
236: Por eso vos saliste tan romántica,"Vimos otra de las oscarizadas: El Agente Secreto (O Agente Secreto, 2025), candidata brasilera a cuatro estatuillas. Entre otros temas también charlamos del cine como herramienta política (¿sí? ¿o no?), Shaicob Elgordi, thrillers políticos setentosos y directores que no son ""de la generación de leer libros"".www.hoytrasnoche.com",4381727,0H2nu0fU2xXKhTB1pRQ42z,https://i.scdn.co/image/ab6765630000ba8a2a04c56a7d508b54691fac31,2026-02-13,https://open.spotify.com/episode/0H2nu0fU2xXKhTB1pRQ42z
"236: Mirá, se me pega la cuchara feat Pablo Stoll","Recibimos a nuestro AMIGO Pablo Stoll para charlar sobre su nueva película El Tema del Verano (2024), que por fin puede verse en salas argentinas. ¿La primera de zombies uruguayos? ¿La primera con un zombie chileno? Veremos.www.hoytrasnoche.com",4600581,0VUhJYY23ObZhMS1anmR2a,https://i.scdn.co/image/ab6765630000ba8a3fcc86cf9e30acc31841d964,2026-02-02,https://open.spotify.com/episode/0VUhJYY23ObZhMS1anmR2a
235: Menos latina que la chiquita de Scream,"Fuimos a ver ¡Ayuda! (Send Help, 2026) la ¡nueva! ¡película! de ¡Sam Raimi!Y hablamos de su filmografía, de una teoría conspirativa que involucra grandes directores que no filman hace mucho que no tiene mucho sentido y de la actual y dramática coyuntura del mundo del espectáculo internacional.Sí, completísimo. tanto que bien podrías pasarte por hoytrasnoche.com y dar una manito.",4385567,2CIymwS0HOtIce9hBlWSjw,https://i.scdn.co/image/ab6765630000ba8a66eba9f6a9d32cd1af9e974d,2026-01-30,https://open.spotify.com/episode/2CIymwS0HOtIce9hBlWSjw
234: Guachín Trier,Vimos Marty Supreme (2025) de Josh Safdie y hubo una polémica de la gran siete.No menos polémica hubo con las últimas noticias del Oscar.Bien podrías ir a hoytrasnoche.com y ponerla toda.,4980036,3yaXU5EjNas6JblmqWaMqR,https://i.scdn.co/image/ab6765630000ba8ade16863669349f9f7a8d5ecb,2026-01-23,https://open.spotify.com/episode/3yaXU5EjNas6JblmqWaMqR
233: Atmósfera Pesada,"Vimos La Virgen de la Tosquera (2025) de Laura Casabé, primera adaptación de dos historias de Mariana Enriquez. Aprovechando su estreno en cine armamos nuestra ya lista clásica de películas que creemos pueden emparentársele. www.hoytrasnoche.com",4131474,3vHqi7zsAEmEpIVy6ai6o4,https://i.scdn.co/image/ab6765630000ba8a9ac76214f5f8425603a551b3,2026-01-16,https://open.spotify.com/episode/3vHqi7zsAEmEpIVy6ai6o4
"232: No hay ""más allá"" del Snyder Cut","Vimos Nouvelle Vague (2025), la segunda de Richard Linklater en bastante poco tiempo. ¿Nos gustó? ¿La usamos de exucusa para convertir este epsiodio en un Intrusos de Cahiers du cinéma? Vas a tener que escuchar para averiguarlo.Lo que bien podrías hacer es meterte en hoytrasnoche.com y ponerla toda, pero bueh, ya ni sabemos para qué te lo pedimos porque es como hablarle a la pared.",4609959,7b2r0YjqeB0ugDeooHaBZT,https://i.scdn.co/image/ab6765630000ba8ad9ae4e58daab9ed4f863a69b,2026-01-09,https://open.spotify.com/episode/7b2r0YjqeB0ugDeooHaBZT
231: Más que un late night era un programa al que se le hacía tarde,"VOLVIMOS. Feliz año y coso.Vimos Alpha (2025) de Julia Ducournau, directora de Titane (2021) y Raw (2016), películas que tienen sus respectivos episodios de este podcast. Veníamos esperándola y... bueno, escuchá el episodio.Flor también charla un poco de Wicked Por Siempre (Wicked: For Good, 2025), The Running Man (2025), Nuremberg (2025) y el documental de Charlie Sheen. Ya que estamos les recordamos que tenemos FECHA EN MAR DEL PLATA: 14/01. Show nuevo especial verano. www.hoytrasnoche.com",4453904,0eZxMCOOI6JPr4kCHghLQ0,https://i.scdn.co/image/ab6765630000ba8a56a68e7eb070892db76d3ef2,2026-01-02,https://open.spotify.com/episode/0eZxMCOOI6JPr4kCHghLQ0
BONO NAVIDEÑO: Justicia por el padre,¿Una película donde Nicolas Cage trata de criar a un Jesús adolescente? ¿En plan thriller? Mirá si la íbamos a dejar pasar. Flor y el Negro Martí vieron The Carpenter's Son (2025) de Lotfy Nathan. Feliz Navidad.www.hoytrasnoche.com,4654785,1HTXsYkN00iabEA3l4Lzj8,https://i.scdn.co/image/ab6765630000ba8a7a31303c0536dbbb1ddeeffd,2025-12-24,https://open.spotify.com/episode/1HTXsYkN00iabEA3l4Lzj8
230: Tejió un enemigurumi,"Llegó ese momento del año: sí, un nuevo balance.¿Coincidirán en algo Flor y Calu? ¿Habrá moncloa o será una batalla campal? Vas a tener que escucharlo entero para saber.Y ya que estamos: otro año que pasa y vos sin entrar en hoytrasnoche.com y poniéndola toda. Vergüenza te debería dar.",5508571,4wHHZshscSSXPlwpKS1eIK,https://i.scdn.co/image/ab6765630000ba8a9afd0919ae5f7ebe6c4d9e52,2025-12-19,https://open.spotify.com/episode/4wHHZshscSSXPlwpKS1eIK
229: Es medio furra la cosa,"A Osgood Perkins se le dio por estrenar otra película este año así que no nos quedó otra que verla. Líbralos del Mal (Keeper, 2025) es esa protagonizada por Tatiana Maslany que al igual que Longlegs (2024) tuvo, quizás, demasiada cháchara previa sobre lo impactante y blah que era. ¿Nos gustó? ¿No nos gustó? Escuchá. www.hoytrasnoche.com",4075441,1Wh1AlL4PZ1QwgwOUUU3tW,https://i.scdn.co/image/ab6765630000ba8a98cdf52d723ab332403b003b,2025-12-12,https://open.spotify.com/episode/1Wh1AlL4PZ1QwgwOUUU3tW
